DR2Name,Prot_Final,Class,Quality,Double,Multi,Eclipsing_Binary,Contaminated,Spot_Evolution,Flares,Notes,RA,Dec,Gmag,BP_RP,Prot,Prot_LS,Power_LS,TESS_Data
Gaia DR2 651928657751421824,-1.0,,,,,,,,,,125.103257,13.739322,17.174963,2.8825,-1,0.0,0.0,No
Gaia DR2 652026136329044736,-1.0,,,,,,,,,,124.943263,14.208259,14.486419,1.7848,-1,0.0,0.0,No
Gaia DR2 652118216130748672,-1.0,,,,,,,,,,125.75802,14.414582,18.23411,2.9148,-1,0.0,0.0,No
Gaia DR2 652172096497316864,-1.0,,,,,,,,,,125.88364,14.919809,17.31528,2.9953,-1,0.0,0.0,No
Gaia DR2 652212469190268928,-1.0,,,,,,,,,,124.44916,14.442322,16.534348,2.6066,-1,0.0,0.0,No
Gaia DR2 652408491498497280,-1.0,,,,,,,,,,124.708097,15.039692,16.397373,2.6729,-1,0.0,0.0,No
Gaia DR2 652498166117194368,-1.0,,,,,,,,,,127.019915,14.975362,17.959015,3.0528,-1,0.0,0.0,No
Gaia DR2 652643129853607424,-1.0,,,,,,,,,,127.571273,15.662513,17.91921,3.0321,-1,0.0,0.0,No
Gaia DR2 652908356971343872,-1.0,,,,,,,,,,126.610477,16.104347,17.158323,2.7793,-1,0.0,0.0,No
Gaia DR2 652946908597734912,-1.0,,,,,,,,,,126.974192,16.518009,15.50955,2.1619,-1,0.0,0.0,No
Gaia DR2 652949348139055488,-1.0,,,,,,,,,,126.819779,16.555002,16.1405,2.5458,-1,0.0,0.0,No
Gaia DR2 652996141805564288,-1.0,,,,,,,,,,126.796802,16.554365,12.84421,1.2983,-1,0.0,0.0,No
Gaia DR2 653008000212376960,-1.0,,,,,,,,,,126.39104,16.644672,17.455694,2.8834,-1,0.0,0.0,No
Gaia DR2 653017449140403840,-1.0,,,,,,,,,,126.664042,16.864695,12.778727,1.2129,-1,0.0,0.0,No
Gaia DR2 653021709747963520,-1.0,,,,,,,,,,126.555859,16.918236,12.930154,1.3525,-1,0.0,0.0,No
